,manufactory,year,selling_price,fuel,seller_type,mileage
3185,Mahindra,2018,1350000,Diesel,Individual,16.0 kmpl
3186,Hyundai,2018,570000,Petrol,Individual,18.9 kmpl
3207,Hyundai,2019,630000,Petrol,Individual,18.6 kmpl
3216,Hyundai,2018,540000,Diesel,Individual,24.0 kmpl
3218,Hyundai,2018,1150000,Diesel,Individual,17.01 kmpl
3219,Maruti,2020,350000,Petrol,Individual,22.05 kmpl
3220,Hyundai,2019,690000,Petrol,Individual,18.6 kmpl
3224,Maruti,2019,650000,Petrol,Individual,21.21 kmpl
3226,Hyundai,2020,360000,Petrol,Individual,20.14 kmpl
3235,Maruti,2019,740000,Diesel,Individual,28.4 kmpl
3236,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
3242,BMW,2018,3790000,Diesel,Dealer,22.48 kmpl
3267,Hyundai,2018,780000,Diesel,Individual,22.54 kmpl
3280,Maruti,2019,750000,Petrol,Individual,11.96 kmpl
3285,Hyundai,2019,640000,Petrol,Individual,18.9 kmpl
3296,Mahindra,2019,1225000,Diesel,Individual,20.0 kmpl
3299,Mahindra,2018,1100000,Diesel,Individual,15.1 kmpl
3306,Maruti,2019,685000,Petrol,Individual,21.4 kmpl
3307,Maruti,2020,399000,CNG,Individual,21.94 km/kg
3336,Tata,2018,450000,Petrol,Individual,20.3 kmpl
3340,Tata,2018,790000,Petrol,Individual,17.0 kmpl
3351,Hyundai,2018,1000000,Diesel,Individual,22.0 kmpl
3356,Hyundai,2019,625000,Petrol,Dealer,18.9 kmpl
3358,Mahindra,2018,1475000,Diesel,Dealer,15.1 kmpl
3384,Maruti,2018,550000,Petrol,Individual,22.0 kmpl
3387,Maruti,2018,630000,Petrol,Individual,21.21 kmpl
3393,Tata,2019,1630000,Diesel,Individual,17.0 kmpl
3400,Maruti,2018,260000,Petrol,Individual,16.8 kmpl
3416,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
3419,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
3421,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
3423,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
3424,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
3425,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
3433,Tata,2018,775000,Diesel,Individual,22.95 kmpl
3439,Honda,2019,580000,Petrol,Individual,17.5 kmpl
3445,Honda,2018,1035000,Diesel,Individual,25.5 kmpl
3464,Ford,2018,900000,Diesel,Individual,23.0 kmpl
3475,Maruti,2018,875000,Diesel,Individual,25.47 kmpl
3492,Maruti,2018,310000,Petrol,Individual,24.7 kmpl
3498,Mahindra,2018,1000000,Diesel,Individual,15.4 kmpl
3503,Hyundai,2019,625000,Petrol,Individual,18.6 kmpl
3506,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
3524,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
3527,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
3529,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
3531,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
3532,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
3533,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
3538,Mahindra,2018,850000,Diesel,Individual,16.55 kmpl
3539,Maruti,2018,620000,Petrol,Individual,20.89 kmpl
3540,Maruti,2018,700000,Petrol,Individual,21.4 kmpl
3557,Hyundai,2018,1200000,Petrol,Individual,15.8 kmpl
3558,Maruti,2018,740000,Petrol,Individual,21.4 kmpl
3560,Maruti,2019,570000,Petrol,Individual,20.89 kmpl
3561,Maruti,2019,490000,Petrol,Individual,20.52 kmpl
3565,Mahindra,2018,850000,Diesel,Individual,16.55 kmpl
3566,Maruti,2018,620000,Petrol,Individual,20.89 kmpl
3569,Maruti,2018,700000,Petrol,Individual,21.4 kmpl
3586,Ford,2019,675000,Petrol,Dealer,18.16 kmpl
3587,Ford,2018,700000,Diesel,Dealer,23.8 kmpl
3588,Ford,2018,795000,Diesel,Dealer,23.8 kmpl
3590,Mahindra,2018,450000,Petrol,Individual,18.15 kmpl
3599,Maruti,2018,750000,Diesel,Individual,25.1 kmpl
3602,Hyundai,2019,650000,Petrol,Individual,17.19 kmpl
3603,Maruti,2018,1050000,Diesel,Individual,25.47 kmpl
3606,Mahindra,2019,1550000,Diesel,Individual,15.1 kmpl
3612,Mahindra,2019,1650000,Diesel,Individual,15.1 kmpl
3616,Maruti,2018,310000,Petrol,Individual,24.7 kmpl
3617,Tata,2018,595000,Petrol,Individual,17.0 kmpl
3621,Maruti,2019,420000,Petrol,Individual,15.37 kmpl
3630,Tata,2018,550000,Petrol,Individual,20.3 kmpl
3631,Maruti,2019,630000,Diesel,Individual,28.4 kmpl
3632,Mahindra,2018,850000,Diesel,Individual,18.49 kmpl
3639,Maruti,2019,550000,Petrol,Individual,21.21 kmpl
3654,Tata,2018,350000,Petrol,Individual,23.84 kmpl
3672,Maruti,2020,250999,Petrol,Individual,22.05 kmpl
3681,Maruti,2018,630000,Diesel,Individual,28.4 kmpl
3683,Mahindra,2018,400000,Diesel,Individual,23.5 kmpl
3685,Maruti,2018,764000,Petrol,Individual,20.73 kmpl
3686,Mahindra,2019,710000,Diesel,Individual,15.96 kmpl
3687,Tata,2018,1575000,Diesel,Individual,17.6 kmpl
3689,Maruti,2019,1000000,Petrol,Individual,19.01 kmpl
3724,Honda,2018,635000,Petrol,Individual,17.8 kmpl
3726,Mahindra,2020,1500000,Diesel,Individual,16.36 kmpl
3728,Hyundai,2019,700000,Diesel,Individual,22.54 kmpl
3735,Hyundai,2019,550000,Petrol,Individual,18.9 kmpl
3750,Mahindra,2018,1500000,Diesel,Individual,16.36 kmpl
3766,Hyundai,2018,825000,Diesel,Dealer,22.54 kmpl
3777,Ford,2018,550000,Petrol,Individual,18.16 kmpl
3807,Hyundai,2019,567000,Petrol,Individual,18.9 kmpl
3839,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
3842,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
3844,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
3846,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
3847,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
3848,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
3867,Maruti,2019,860000,Diesel,Individual,24.3 kmpl
3876,Mahindra,2018,530000,Diesel,Individual,15.96 kmpl
3886,Hyundai,2018,380000,Petrol,Individual,21.1 kmpl
3887,Ford,2019,1145000,Diesel,Individual,23.0 kmpl
3907,Hyundai,2018,1150000,Diesel,Individual,22.0 kmpl
3918,Tata,2018,749000,Diesel,Individual,21.5 kmpl
3930,Tata,2020,500000,Petrol,Individual,17.57 kmpl
3933,Ford,2018,850000,Petrol,Individual,17.0 kmpl
3936,Maruti,2018,459999,Petrol,Individual,20.51 kmpl
3940,Tata,2018,750000,Petrol,Individual,17.0 kmpl
3954,Mahindra,2018,875000,Diesel,Individual,16.55 kmpl
3965,Mahindra,2019,1460000,Diesel,Individual,17.3 kmpl
3972,Maruti,2019,525000,Petrol,Individual,20.89 kmpl
3974,Maruti,2019,500000,Petrol,Individual,21.21 kmpl
3994,Ford,2018,750000,Diesel,Individual,23.0 kmpl
4001,Tata,2018,459999,Petrol,Individual,17.57 kmpl
4003,Maruti,2019,650000,Petrol,Individual,21.21 kmpl
4008,Hyundai,2019,590000,Petrol,Individual,18.6 kmpl
4013,Mahindra,2019,1000000,Petrol,Individual,17.0 kmpl
4065,Ford,2019,900000,Diesel,Individual,23.0 kmpl
4067,Honda,2018,900000,Diesel,Individual,25.5 kmpl
4073,Maruti,2018,630000,Petrol,Individual,21.21 kmpl
4085,Maruti,2018,795000,Petrol,Dealer,21.21 kmpl
4101,Maruti,2018,750000,Petrol,Dealer,22.0 kmpl
4102,BMW,2018,6000000,Diesel,Dealer,17.09 kmpl
4110,Maruti,2018,509999,Petrol,Individual,20.51 kmpl
4120,Honda,2018,860000,Petrol,Individual,18.2 kmpl
4130,Tata,2018,480000,Petrol,Individual,23.84 kmpl
4137,Hyundai,2018,1405000,Petrol,Individual,15.8 kmpl
4153,Hyundai,2018,850000,Diesel,Individual,22.54 kmpl
4157,Hyundai,2018,1200000,Petrol,Individual,15.8 kmpl
4162,Hyundai,2018,1000000,Petrol,Individual,17.0 kmpl
4168,Hyundai,2019,458000,Petrol,Individual,20.3 kmpl
4169,Ford,2018,950000,Diesel,Individual,23.0 kmpl
4180,Mahindra,2018,1500000,Diesel,Individual,15.1 kmpl
4181,Mahindra,2018,1500000,Diesel,Individual,15.1 kmpl
4195,Ford,2018,925000,Diesel,Dealer,22.77 kmpl
4196,Mahindra,2019,1460000,Diesel,Individual,17.3 kmpl
4199,Ford,2019,975000,Diesel,Individual,23.0 kmpl
4200,Ford,2018,620000,Petrol,Individual,20.4 kmpl
4203,Honda,2019,1227000,Petrol,Individual,18.0 kmpl
4205,Ford,2018,950000,Diesel,Individual,23.0 kmpl
4212,Maruti,2018,650000,Diesel,Individual,28.4 kmpl
4223,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4226,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4228,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4230,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4231,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4232,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4242,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4245,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4247,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4249,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4250,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4251,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4263,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4266,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4268,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4270,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4271,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4272,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4289,Maruti,2019,500000,Petrol,Individual,21.4 kmpl
4291,Tata,2019,600000,Petrol,Individual,20.3 kmpl
4296,Mahindra,2018,550000,Petrol,Individual,18.15 kmpl
4312,Maruti,2018,310000,Petrol,Individual,24.7 kmpl
4328,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4331,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4333,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4335,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4336,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4337,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4347,Maruti,2018,650000,Diesel,Individual,28.4 kmpl
4364,Maruti,2018,475000,Petrol,Individual,21.63 kmpl
4368,Maruti,2019,750000,Petrol,Individual,21.21 kmpl
4377,Tata,2018,700000,Diesel,Individual,15.3 kmpl
4389,Tata,2018,250000,Petrol,Dealer,21.9 kmpl
4397,Ford,2018,950000,Diesel,Individual,23.0 kmpl
4398,Tata,2019,1140000,Diesel,Individual,21.5 kmpl
4422,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4425,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4427,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4429,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4430,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4431,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4444,Maruti,2018,810000,Diesel,Individual,25.1 kmpl
4445,Hyundai,2018,671000,Petrol,Individual,18.6 kmpl
4446,Maruti,2018,295000,Petrol,Individual,24.7 kmpl
4462,Hyundai,2018,565000,Petrol,Individual,20.3 kmpl
4463,Ford,2018,900000,Diesel,Individual,23.0 kmpl
4466,Maruti,2018,800000,Diesel,Individual,28.4 kmpl
4471,Maruti,2018,625000,Petrol,Individual,21.4 kmpl
4472,Hyundai,2018,799000,Diesel,Individual,22.54 kmpl
4478,Mahindra,2018,900000,Diesel,Individual,16.55 kmpl
4486,Maruti,2019,480000,Petrol,Individual,21.63 kmpl
4487,Maruti,2019,490000,Petrol,Individual,21.63 kmpl
4499,Ford,2019,975000,Diesel,Individual,23.0 kmpl
4500,Honda,2019,1227000,Petrol,Individual,18.0 kmpl
4506,Honda,2018,675000,Petrol,Dealer,18.7 kmpl
4544,Maruti,2019,892000,Diesel,Individual,24.3 kmpl
4553,Hyundai,2018,570000,Petrol,Individual,18.9 kmpl
4556,Maruti,2019,600000,Petrol,Individual,21.21 kmpl
4562,Honda,2019,1200000,Diesel,Individual,25.6 kmpl
4575,Mahindra,2018,750000,Diesel,Individual,21.03 kmpl
4585,Maruti,2018,1000000,Diesel,Individual,25.1 kmpl
4606,Hyundai,2018,350000,Petrol,Individual,20.3 kmpl
4621,Maruti,2019,694000,Diesel,Individual,28.4 kmpl
4641,Maruti,2018,675000,Diesel,Individual,28.4 kmpl
4648,Maruti,2019,1000000,Petrol,Individual,19.01 kmpl
4650,Maruti,2018,600000,Petrol,Individual,19.0 kmpl
4656,Maruti,2018,900000,Diesel,Individual,24.3 kmpl
4660,Hyundai,2019,509999,Petrol,Individual,20.3 kmpl
4672,BMW,2019,5200000,Diesel,Dealer,18.12 kmpl
4674,Maruti,2018,690000,Diesel,Dealer,26.59 kmpl
4676,Tata,2020,1650000,Diesel,Dealer,17.0 kmpl
4685,Maruti,2018,975000,Diesel,Dealer,28.09 kmpl
4724,Tata,2018,875000,Diesel,Individual,14.1 kmpl
4725,Tata,2018,890000,Diesel,Individual,14.1 kmpl
4738,Hyundai,2018,1000000,Diesel,Individual,22.0 kmpl
4741,Hyundai,2019,500000,Petrol,Individual,20.3 kmpl
4746,Hyundai,2019,625000,Petrol,Dealer,18.9 kmpl
4748,Honda,2018,680000,Petrol,Dealer,18.7 kmpl
4749,Maruti,2019,700000,Diesel,Individual,28.4 kmpl
4754,BMW,2018,5500000,Diesel,Individual,17.09 kmpl
4756,Hyundai,2019,785000,Petrol,Dealer,18.6 kmpl
4764,Tata,2019,1650000,Diesel,Dealer,17.0 kmpl
4765,Mahindra,2018,890000,Diesel,Dealer,18.49 kmpl
4767,BMW,2018,6000000,Diesel,Dealer,17.09 kmpl
4768,Maruti,2019,1025000,Petrol,Dealer,20.28 kmpl
4777,Tata,2018,1300000,Diesel,Individual,17.6 kmpl
4778,Mahindra,2018,819999,Diesel,Individual,18.49 kmpl
4784,Tata,2018,811000,Petrol,Dealer,17.0 kmpl
4799,Tata,2018,1025000,Diesel,Dealer,21.5 kmpl
4809,Hyundai,2018,750000,Diesel,Individual,22.54 kmpl
4815,Honda,2019,1100000,Diesel,Individual,21.9 kmpl
4823,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
4826,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
4828,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
4830,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
4831,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
4832,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
4841,Ford,2018,950000,Diesel,Individual,23.0 kmpl
4843,Maruti,2020,350000,Petrol,Individual,22.05 kmpl
4853,Maruti,2018,950000,Diesel,Individual,25.1 kmpl
4859,Honda,2018,750000,Petrol,Individual,18.1 kmpl
4866,Ford,2019,869999,Diesel,Individual,23.0 kmpl
4874,Maruti,2018,825000,Diesel,Individual,24.3 kmpl
4885,Maruti,2018,750000,Diesel,Individual,28.4 kmpl
4894,Maruti,2019,500000,Petrol,Individual,20.89 kmpl
4899,Ford,2019,950000,Diesel,Dealer,21.7 kmpl
4906,Maruti,2018,469000,Petrol,Individual,21.79 kmpl
4909,Ford,2019,906000,Diesel,Individual,23.0 kmpl
4914,Tata,2018,450000,Petrol,Dealer,23.84 kmpl
4922,Mahindra,2018,797000,Diesel,Individual,16.5 kmpl
4923,Hyundai,2019,800000,Petrol,Individual,18.6 kmpl
4924,Mahindra,2019,750000,Diesel,Individual,15.96 kmpl
4950,Maruti,2018,755000,Diesel,Dealer,28.4 kmpl
4957,Maruti,2018,800000,Petrol,Individual,21.4 kmpl
4964,Tata,2018,450000,Petrol,Individual,20.3 kmpl
4968,Tata,2018,790000,Petrol,Individual,17.0 kmpl
4984,Maruti,2019,675000,Diesel,Individual,28.4 kmpl
4987,Maruti,2019,500000,Petrol,Individual,20.89 kmpl
4994,Maruti,2018,750000,Petrol,Individual,21.1 kmpl
5004,Maruti,2019,600000,Petrol,Individual,21.4 kmpl
5005,Maruti,2020,810000,Diesel,Individual,24.3 kmpl
5006,Tata,2019,346000,Petrol,Individual,23.84 kmpl
5021,Maruti,2018,465000,Petrol,Individual,20.51 kmpl
5030,Maruti,2018,459999,Petrol,Individual,20.4 kmpl
5035,Maruti,2018,350000,Petrol,Individual,23.95 kmpl
5036,Mahindra,2019,1800000,Diesel,Individual,16.0 kmpl
5037,Maruti,2018,640000,Petrol,Individual,22.0 kmpl
5039,Tata,2018,600000,Petrol,Individual,17.0 kmpl
5041,Mahindra,2019,974000,Diesel,Individual,16.55 kmpl
5042,Maruti,2018,445000,Petrol,Individual,20.51 kmpl
5044,Hyundai,2020,1050000,Diesel,Individual,22.1 kmpl
5050,Maruti,2018,950000,Diesel,Individual,24.3 kmpl
5053,Maruti,2020,600000,Petrol,Individual,20.89 kmpl
5058,Hyundai,2018,340000,Petrol,Individual,20.3 kmpl
5063,Mahindra,2019,960000,Petrol,Individual,17.0 kmpl
5079,Tata,2018,515000,Petrol,Individual,24.0 kmpl
5090,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
5093,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
5095,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
5097,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
5098,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
5099,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
5111,Tata,2018,550000,Petrol,Individual,20.3 kmpl
5131,Mahindra,2018,500000,Petrol,Individual,18.15 kmpl
5137,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
5156,Mahindra,2018,1150000,Diesel,Individual,15.1 kmpl
5158,Ford,2019,960000,Diesel,Individual,23.0 kmpl
5167,Mahindra,2019,925000,Diesel,Individual,17.3 kmpl
5168,Ford,2018,590000,Petrol,Individual,18.16 kmpl
5174,Hyundai,2019,1200000,Diesel,Individual,22.0 kmpl
5180,Hyundai,2018,700000,Diesel,Individual,24.0 kmpl
5195,Tata,2018,850000,Petrol,Individual,17.0 kmpl
5211,Mahindra,2019,1300000,Diesel,Individual,16.36 kmpl
5219,Maruti,2018,380000,Petrol,Individual,20.51 kmpl
5220,Maruti,2019,579000,Petrol,Individual,21.4 kmpl
5221,Mahindra,2019,400000,Petrol,Individual,18.15 kmpl
5233,Hyundai,2018,500000,Petrol,Individual,20.3 kmpl
5244,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
5252,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
5253,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
5254,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
5259,BMW,2018,4000000,Diesel,Dealer,22.48 kmpl
5260,Hyundai,2019,1125000,Petrol,Dealer,18.15 kmpl
5264,Tata,2019,450000,Petrol,Individual,20.3 kmpl
5267,Maruti,2020,650000,Petrol,Individual,21.01 kmpl
5268,Maruti,2018,750000,Diesel,Individual,28.09 kmpl
5288,Ford,2018,650000,Diesel,Individual,25.83 kmpl
5292,Maruti,2019,754000,Diesel,Individual,28.4 kmpl
5295,Maruti,2018,725000,Diesel,Individual,28.4 kmpl
5297,Hyundai,2018,475000,Petrol,Individual,20.3 kmpl
5310,Honda,2019,670000,Petrol,Individual,19.5 kmpl
5313,Honda,2018,900000,Petrol,Individual,17.5 kmpl
5318,Mahindra,2018,1525000,Diesel,Individual,15.1 kmpl
5328,Mahindra,2018,750000,Diesel,Individual,16.5 kmpl
5332,Hyundai,2019,562000,Petrol,Individual,18.9 kmpl
5336,Maruti,2019,750000,Petrol,Individual,21.21 kmpl
5344,Maruti,2020,737000,Petrol,Individual,18.76 kmpl
5352,Maruti,2018,889000,Diesel,Individual,28.09 kmpl
5357,Hyundai,2018,800000,Petrol,Individual,17.4 kmpl
5372,Hyundai,2018,750000,Petrol,Individual,17.4 kmpl
5374,Maruti,2019,711000,Petrol,Individual,21.4 kmpl
5376,Maruti,2020,749000,Petrol,Individual,21.01 kmpl
5389,Tata,2019,670000,Diesel,Individual,27.28 kmpl
5430,Mahindra,2019,1450000,Diesel,Individual,17.3 kmpl
5431,Mahindra,2019,1200000,Diesel,Individual,20.0 kmpl
5432,Hyundai,2019,834000,Diesel,Individual,22.54 kmpl
5435,Maruti,2019,900000,Diesel,Individual,28.4 kmpl
5465,Tata,2018,450000,Diesel,Individual,27.28 kmpl
5480,Hyundai,2019,509999,Petrol,Individual,20.14 kmpl
5488,Maruti,2019,900000,Diesel,Individual,24.3 kmpl
5510,Ford,2019,1050000,Diesel,Dealer,23.0 kmpl
5513,Maruti,2018,730000,Petrol,Dealer,22.0 kmpl
5516,Mahindra,2019,1075000,Diesel,Dealer,17.3 kmpl
5522,Maruti,2018,875000,Diesel,Dealer,24.52 kmpl
5526,Mahindra,2018,800000,Diesel,Individual,18.49 kmpl
5543,Honda,2018,600000,Petrol,Individual,18.2 kmpl
5548,Maruti,2019,700000,Petrol,Individual,22.0 kmpl
5555,Maruti,2018,459999,Petrol,Individual,21.63 kmpl
5556,Hyundai,2018,800000,Diesel,Individual,22.54 kmpl
5560,Maruti,2018,671000,Diesel,Individual,28.4 kmpl
5566,Hyundai,2018,600000,Petrol,Individual,18.9 kmpl
5571,Hyundai,2018,1150000,Diesel,Individual,22.0 kmpl
5586,Ford,2018,900000,Diesel,Individual,23.0 kmpl
5603,Tata,2018,850000,Petrol,Individual,17.0 kmpl
5621,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
5624,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
5626,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
5628,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
5629,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
5630,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
5637,Maruti,2020,570000,Petrol,Individual,21.21 kmpl
5644,Honda,2019,580000,Petrol,Individual,17.5 kmpl
5646,Hyundai,2019,434999,Petrol,Dealer,20.3 kmpl
5663,Hyundai,2018,530000,Diesel,Individual,25.4 kmpl
5675,Maruti,2018,300000,Petrol,Individual,24.7 kmpl
5684,Hyundai,2019,425000,Petrol,Individual,20.3 kmpl
5700,Maruti,2018,535000,Petrol,Individual,20.89 kmpl
5750,Maruti,2019,1050000,Diesel,Individual,25.47 kmpl
5756,Maruti,2019,1200000,Diesel,Individual,25.47 kmpl
5777,Hyundai,2019,500000,Petrol,Individual,20.14 kmpl
5778,Honda,2018,585000,Petrol,Individual,17.8 kmpl
5782,Ford,2018,700000,Diesel,Individual,23.0 kmpl
5789,Maruti,2019,430000,CNG,Individual,32.26 km/kg
5815,Maruti,2020,370000,CNG,Individual,33.0 km/kg
5825,Mahindra,2018,775000,Diesel,Individual,18.49 kmpl
5837,Tata,2020,537000,Petrol,Individual,17.0 kmpl
5841,Hyundai,2019,700000,Petrol,Individual,18.6 kmpl
5849,Maruti,2019,825000,Diesel,Individual,28.4 kmpl
5852,Maruti,2018,851000,Diesel,Individual,28.4 kmpl
5860,Ford,2019,675000,Petrol,Individual,19.4 kmpl
5864,Maruti,2020,925000,Diesel,Individual,24.3 kmpl
5895,Maruti,2019,556000,Petrol,Individual,21.01 kmpl
5897,Mahindra,2018,1500000,Diesel,Individual,16.0 kmpl
5900,Mahindra,2020,679000,Diesel,Individual,0.0 kmpl
5936,Honda,2018,780000,Petrol,Individual,17.5 kmpl
5956,Maruti,2018,611000,Petrol,Dealer,19.1 kmpl
5960,Maruti,2018,490000,Petrol,Dealer,16.1 kmpl
5963,Hyundai,2018,1237000,Diesel,Individual,19.67 kmpl
5966,Maruti,2018,695000,Petrol,Individual,22.0 kmpl
5982,Maruti,2018,950000,Diesel,Individual,28.09 kmpl
5994,Honda,2018,834000,Diesel,Individual,25.5 kmpl
6023,Tata,2018,535000,Petrol,Individual,20.3 kmpl
6027,Hyundai,2019,667000,Petrol,Individual,18.6 kmpl
6041,Hyundai,2018,650000,Petrol,Individual,18.9 kmpl
6068,Maruti,2020,578000,Petrol,Individual,21.21 kmpl
6071,Mahindra,2018,890000,Diesel,Individual,16.5 kmpl
6073,Maruti,2018,420000,Petrol,Individual,20.51 kmpl
6075,Maruti,2018,270000,Petrol,Individual,24.7 kmpl
6076,Maruti,2018,700000,Petrol,Individual,22.0 kmpl
6078,Tata,2019,1250000,Diesel,Individual,17.6 kmpl
6080,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
6084,Maruti,2018,830000,Petrol,Individual,21.4 kmpl
6090,Hyundai,2020,524000,Petrol,Individual,20.14 kmpl
6102,Ford,2018,675000,Diesel,Individual,24.4 kmpl
6105,Maruti,2019,675000,Petrol,Individual,21.21 kmpl
6107,Mahindra,2019,1200000,Diesel,Individual,20.0 kmpl
6109,Mahindra,2019,1090000,Petrol,Dealer,17.0 kmpl
6112,Hyundai,2018,780000,Diesel,Individual,22.54 kmpl
6114,Maruti,2018,610000,Petrol,Dealer,22.0 kmpl
6133,Maruti,2018,480000,Petrol,Dealer,20.89 kmpl
6136,Ford,2019,700000,Petrol,Dealer,18.5 kmpl
6146,Honda,2018,949000,Petrol,Individual,17.4 kmpl
6147,Mahindra,2018,750000,Diesel,Individual,16.5 kmpl
6160,Hyundai,2018,470000,Diesel,Individual,25.4 kmpl
6162,Ford,2019,575000,Petrol,Individual,19.4 kmpl
6173,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
6176,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
6178,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
6180,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
6181,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
6182,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
6187,Maruti,2018,580000,Petrol,Individual,23.1 kmpl
6212,Maruti,2019,890000,Diesel,Individual,24.3 kmpl
6220,Honda,2019,2000000,Petrol,Dealer,16.5 kmpl
6230,Maruti,2019,650000,Petrol,Individual,22.0 kmpl
6240,Maruti,2020,600000,Petrol,Individual,21.21 kmpl
6255,Tata,2018,1525000,Diesel,Individual,17.6 kmpl
6258,BMW,2018,5830000,Diesel,Individual,17.09 kmpl
6260,Hyundai,2018,665000,Diesel,Dealer,24.4 kmpl
6261,Hyundai,2019,721000,Petrol,Dealer,18.6 kmpl
6264,Mahindra,2019,975000,Diesel,Dealer,16.55 kmpl
6267,Hyundai,2019,685000,Petrol,Dealer,18.6 kmpl
6268,Maruti,2019,595000,Petrol,Dealer,21.21 kmpl
6269,Ford,2018,900000,Diesel,Dealer,23.0 kmpl
6270,Maruti,2018,950000,Diesel,Dealer,25.47 kmpl
6273,Hyundai,2018,700000,Petrol,Dealer,18.6 kmpl
